Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Salary,Experience_Years,Education,City
214,Vikash Kumar,51.0,Male,Finance,Accountant,50200.0,9,Diploma,Noida
238,Aarav Kumar,28.0,Female,Marketing,Operations Executive,29222.0,6,Bachelor's,Gurgaon
596,Raj Sharma,29.0,Male,Marketing,Operations Executive,51588.0,14,12th,Chandigarh
282,Kavya Verma,46.0,Male,Finance,Data Analyst,85694.0,9,12th,Gurgaon
871,Meera Singh,46.0,Male,HR,Marketing Executive,116544.0,13,Master's,Kolkata
287,Karan Kumar,33.0,Female,Sales,Data Analyst,83926.0,8,Bachelor's,Kolkata
923,Vikash Jain,25.0,Female,HR,HR Executive,75579.0,2,12th,Delhi
888,Vivaan Jain,24.0,Female,IT,Data Analyst,64514.0,1,Diploma,Bengaluru
465,Vivaan Jain,22.0,Female,Marketing,HR Executive,101269.0,8,12th,Jaipur
797,Rohan Patel,35.0,Male,Sales,Software Developer,49004.0,13,Bachelor's,Chandigarh
97,Vikash Malhotra,53.0,Male,Finance,Marketing Executive,60018.0,15,Master's,Chandigarh
245,Pooja Yadav,37.0,Female,Operations,Data Analyst,51651.0,2,Master's,Delhi
890,Aarav Patel,50.0,Male,Finance,Marketing Executive,81112.0,10,Master's,Gurgaon
77,Vivaan Jain,40.0,Male,Finance,Data Analyst,26854.0,9,Master's,Chandigarh
902,Rahul Mehta,32.0,Male,IT,Operations Executive,59313.0,3,Diploma,Noida
210,Simran Patel,51.0,Male,Operations,Data Analyst,59803.0,5,12th,Jaipur
260,Priya Malhotra,26.0,Female,Operations,Operations Executive,90517.0,3,Bachelor's,Noida
159,Kavya Kumar,44.0,Male,HR,Software Developer,65483.0,7,Master's,Jaipur
740,Pooja Verma,35.0,Male,Finance,Data Analyst,78422.0,4,12th,Pune
433,Neha Malhotra,42.0,Female,HR,HR Executive,63557.0,9,Diploma,Hyderabad
332,Aarav Yadav,22.0,Female,Operations,Operations Executive,55539.0,0,12th,Mumbai
957,Sneha Jain,45.0,Female,Sales,Software Developer,85771.0,15,Bachelor's,Pune
315,Riya Malhotra,36.0,Male,HR,Accountant,61302.0,9,Bachelor's,Mumbai
295,Aarav Kumar,49.0,Male,IT,Accountant,89054.0,9,Bachelor's,Mumbai
383,Aarav Kumar,50.0,Female,Operations,Data Analyst,91207.0,11,12th,Kolkata
389,Riya Malhotra,53.0,Female,Marketing,Marketing Executive,111816,9,Diploma,Gurgaon
576,Ananya Singh,,Female,Operations,Software Developer,27408.0,7,Diploma,Delhi
880,Aarav Jain,35.0,Female,HR,Operations Executive,93561.0,8,12th,Delhi
443,Vivaan Malhotra,30.0,Male,Finance,Accountant,30235.0,9,12th,Kolkata
722,Raj Singh,50.0,Male,IT,HR Executive,54428.0,15,Bachelor's,Mumbai
60,Pooja Gupta,42.0,Female,Operations,HR Executive,112670.0,0,12th,Kolkata
679,Isha Verma,47.0,male,HR,Data Analyst,25599.0,11,Master's,Chandigarh
371,Kavya Singh,47.0,Female,Marketing,HR Executive,95190.0,2,12th,Delhi
483,Sneha Yadav,54.0,Male,Sales,Operations Executive,81224.0,3,12th,Jaipur
382,Vivaan Yadav,33.0,Male,IT,Sales Executive,32553.0,6,Diploma,Pune
55,Aditya Singh,54.0,Male,Finance,Sales Executive,88517.0,7,Diploma,Pune
24,Pooja Kumar,49.0,Female,HR,Software Developer,43373.0,2,12th,Hyderabad
31,Vikash Patel,41.0,Female,Sales,HR Executive,56285.0,10,Bachelor's,Delhi
881,Neha Singh,48.0,Male,Finance,Sales Executive,109012.0,3,12th,Chandigarh
431,Isha Gupta,24.0,Female,Marketing,Sales Executive,97512.0,5,Master's,Gurgaon
11,Kavya Verma,46.0,Male,HR,Accountant,72447.0,1,Bachelor's,Jaipur
657,Simran Gupta,26.0,Male,Sales,Marketing Executive,104257.0,3,Master's,Mumbai
814,Aditya Malhotra,37.0,Male,HR,HR Executive,69739.0,8,Bachelor's,Bengaluru
484,Riya Jain,37.0,Male,IT,Software Developer,87539.0,13,Diploma,Noida
544,Ananya Patel,30.0,Female,Finance,Accountant,83901.0,0,12th,Jaipur
200,Riya Mehta,30.0,Male,Finance,Sales Executive,37689.0,7,Master's,Pune
502,Raj Kumar,52.0,Male,Operations,HR Executive,51170.0,7,Master's,Noida
941,Meera Kumar,23.0,Male,Finance,Software Developer,79484.0,6,12th,Bengaluru
108,Raj Patel,43.0,Female,Operations,Sales Executive,102014.0,9,Master's,Bengaluru
219,Rohan Mehta,27.0,Male,IT,Accountant,114285.0,15,12th,Noida
926,Simran Singh,48.0,Female,HR,Accountant,118018.0,6,12th,Mumbai
175,Pooja Patel,43.0,Female,Operations,HR Executive,96567.0,5,Master's,Gurgaon
724,Simran Mehta,25.0,Female,Marketing,Sales Executive,103497.0,8,12th,Gurgaon
882,Vivaan Singh,44.0,Male,Operations,HR Executive,92797.0,13,12th,Pune
934,Pooja Patel,37.0,Male,Finance,Marketing Executive,40031.0,14,Bachelor's,Gurgaon
395,Priya Yadav,43.0,Female,Sales,Operations Executive,54272.0,8,Diploma,Chandigarh
40,Amit Singh,22.0,Female,Sales,Operations Executive,48509.0,5,Bachelor's,Bengaluru
834,Aarav Kumar,28.0,Female,Sales,Operations Executive,51462.0,15,Diploma,Mumbai
774,Ananya Verma,47.0,Male,Sales,Accountant,58332.0,10,12th,Chandigarh
352,Kavya Sharma,24.0,Male,IT,Accountant,55490.0,10,Master's,Jaipur
67,Aditya Jain,23.0,Female,Operations,Software Developer,70508.0,10,Bachelor's,Bengaluru
278,Sneha Verma,37.0,Male,Operations,Sales Executive,111332.0,14,12th,Kolkata
68,Pooja Gupta,52.0,Female,Finance,Marketing Executive,38833.0,13,Master's,Hyderabad
911,Pooja Mehta,23.0,Female,Sales,Sales Executive,85981.0,13,Diploma,Chandigarh
440,Pooja Kumar,24.0,Female,HR,Accountant,26699.0,11,Master's,Noida
737,Aditya Verma,53.0,Male,Marketing,Accountant,105341.0,0,Master's,Noida
297,Vivaan Patel,28.0,Female,Marketing,Operations Executive,60112.0,6,12th,Gurgaon
621,Arjun Mehta,29.0,female,Operations,Data Analyst,28800.0,1,Bachelor's,Bengaluru
491,Vivaan Mehta,37.0,Female,IT,Accountant,54067.0,12,Diploma,Kolkata
820,Sneha Sharma,,Female,Marketing,Operations Executive,51389.0,10,Bachelor's,Gurgaon
559,Vikash Verma,44.0,Male,HR,Software Developer,101304.0,12,Master's,Gurgaon
425,Pooja Yadav,40.0,Male,Operations,Marketing Executive,91628.0,11,Bachelor's,Noida
925,Sneha Kumar,55.0,Female,Operations,Data Analyst,79842.0,4,Master's,Mumbai
313,Rahul Mehta,43.0,Male,Operations,Marketing Executive,119690.0,14,Master's,Gurgaon
185,Rohan Patel,38.0,Male,IT,Marketing Executive,57717.0,12,Bachelor's,Mumbai
333,Vivaan Gupta,27.0,Male,Sales,Sales Executive,51895.0,8,Bachelor's,Delhi
89,Priya Verma,26.0,Female,Sales,Software Developer,86605.0,5,Diploma,Bengaluru
64,Kavya Verma,22.0,Male,HR,HR Executive,106439.0,6,12th,Mumbai
835,Neha Yadav,53.0,Male,Finance,Software Developer,47447.0,7,Master's,Hyderabad
577,Amit Gupta,37.0,Male,Marketing,Software Developer,75747.0,10,12th,Jaipur
216,Aditya Yadav,43.0,Female,IT,Software Developer,44198.0,14,Diploma,Chandigarh
616,Vivaan Malhotra,50.0,Male,IT,Software Developer,75801.0,2,Diploma,Chandigarh
514,Karan Malhotra,47.0,Female,Operations,Accountant,40890.0,5,Diploma,Pune
291,Ananya Gupta,28.0,Female,IT,HR Executive,56270.0,12,12th,Kolkata
378,Priya Singh,24.0,Female,Finance,Data Analyst,87287.0,9,Diploma,Chandigarh
892,Rahul Sharma,47.0,Female,HR,HR Executive,88097.0,1,Master's,Mumbai
970,Amit Patel,38.0,Female,IT,Accountant,33423.0,15,Bachelor's,Delhi
947,Neha Kumar,22.0,Male,Finance,HR Executive,105786.0,2,Bachelor's,Jaipur
787,Raj Singh,35.0,Male,HR,Operations Executive,118528.0,15,12th,Jaipur
426,Ananya Patel,50.0,Female,Operations,Marketing Executive,68512.0,3,Bachelor's,Noida
697,Karan Gupta,44.0,Male,Marketing,Marketing Executive,47972.0,10,Master's,Hyderabad
996,Arjun Verma,45.0,Female,Finance,Data Analyst,61073.0,2,Bachelor's,Chandigarh
310,Priya Verma,35.0,Female,IT,Data Analyst,93084.0,13,Master's,Chandigarh
87,Aarav Verma,23.0,,Marketing,Software Developer,81626.0,7,Bachelor's,Mumbai
732,Aarav Verma,54.0,Male,Operations,Software Developer,69832.0,7,Master's,Jaipur
756,Neha Yadav,45.0,Female,Finance,Software Developer,37759.0,1,Master's,Noida
311,Arjun Verma,25.0,Female,IT,Marketing Executive,55008.0,10,Diploma,Mumbai
539,Kavya Verma,30.0,Male,HR,HR Executive,73679.0,10,Bachelor's,Delhi
137,Isha Kumar,30.0,Male,IT,Marketing Executive,107991.0,12,12th,Chandigarh
959,Sneha Patel,46.0,Female,Operations,Software Developer,79502.0,9,Bachelor's,Bengaluru
1000,Arjun Gupta,55.0,Male,HR,Marketing Executive,118552.0,5,Bachelor's,Hyderabad
729,Priya Gupta,54.0,Female,Sales,Sales Executive,61885.0,3,Master's,Jaipur
262,Sneha Verma,22.0,Male,Operations,Operations Executive,52152.0,9,Master's,Kolkata
548,Sneha Patel,52.0,Male,IT,Accountant,50115.0,8,Bachelor's,Pune
169,Raj Kumar,49.0,Male,IT,Data Analyst,105654.0,4,12th,Gurgaon
791,Vivaan Yadav,37.0,Male,Marketing,Data Analyst,34575.0,7,12th,Pune
449,Karan Kumar,31.0,Male,Operations,Data Analyst,95513.0,13,Bachelor's,Noida
140,Isha Verma,49.0,Female,HR,Operations Executive,79287.0,11,12th,Gurgaon
686,Priya Gupta,33.0,Female,Finance,HR Executive,107840.0,1,Bachelor's,Mumbai
667,Rahul Sharma,52.0,Female,Operations,HR Executive,36123.0,6,Bachelor's,Kolkata
858,Aditya Kumar,40.0,Male,Operations,Accountant,98537.0,1,Master's,Chandigarh
519,Arjun Verma,26.0,,Sales,Data Analyst,52600.0,15,Bachelor's,Delhi
956,Vikash Malhotra,22.0,Female,IT,Operations Executive,74993.0,4,Master's,Mumbai
534,Amit Mehta,37.0,Male,IT,Operations Executive,75014.0,14,Master's,Delhi
56,Amit Mehta,41.0,Male,HR,HR Executive,95798.0,4,Master's,Gurgaon
121,Riya Sharma,28.0,Male,Operations,HR Executive,84600.0,1,Diploma,Noida
531,Aarav Kumar,39.0,Male,Operations,Sales Executive,60283.0,2,Master's,Delhi
26,Aarav Mehta,34.0,Male,HR,Sales Executive,77565.0,8,12th,Mumbai
73,Sneha Kumar,49.0,Male,hr,HR Executive,27260.0,9,Diploma,Chandigarh
45,Meera Kumar,23.0,Female,IT,Accountant,117901.0,11,12th,Gurgaon
250,Aarav Singh,47.0,Male,Operations,HR Executive,30992.0,13,Diploma,Jaipur
405,Vivaan Mehta,34.0,Male,IT,Software Developer,27872.0,8,Bachelor's,Kolkata
848,Isha Mehta,25.0,Female,Marketing,Accountant,73404.0,8,12th,Bengaluru
704,Amit Jain,22.0,Male,IT,Data Analyst,63209.0,10,12th,Kolkata
919,Neha Mehta,52.0,Female,Finance,HR Executive,111356.0,12,Diploma,Pune
199,Pooja Verma,44.0,Male,Finance,HR Executive,92499.0,8,12th,Noida
543,Riya Jain,43.0,Female,Finance,Operations Executive,67425.0,5,Bachelor's,Hyderabad
356,Vikash Gupta,32.0,Female,Operations,Marketing Executive,74595.0,5,Bachelor's,Kolkata
324,Neha Singh,29.0,Male,IT,Software Developer,60227.0,2,Diploma,Kolkata
650,Sneha Patel,37.0,Male,HR,Sales Executive,40203.0,9,12th,Hyderabad
917,Aditya Yadav,50.0,Female,Finance,Operations Executive,119700.0,6,12th,Bengaluru
236,Aarav Sharma,55.0,Male,Operations,HR Executive,76518.0,9,12th,Hyderabad
581,Rahul Sharma,55.0,Male,HR,Software Developer,119298.0,10,12th,Bengaluru
950,Meera Sharma,35.0,Female,HR,HR Executive,68420.0,7,Master's,Kolkata
944,Arjun Jain,34.0,Female,Marketing,Sales Executive,78883.0,5,Diploma,Gurgaon
908,Simran Mehta,51.0,Female,Sales,Software Developer,118801.0,1,Master's,Noida
300,Riya Jain,24.0,Female,Marketing,Software Developer,99720.0,5,Diploma,Mumbai
61,Pooja Gupta,22.0,Female,HR,Operations Executive,36003.0,1,Diploma,Bengaluru
328,Aditya Malhotra,36.0,Female,Finance,Operations Executive,79559.0,11,Bachelor's,Hyderabad
932,Rohan Singh,25.0,Female,Sales,Sales Executive,38791.0,6,Bachelor's,Chandigarh
602,Raj Yadav,25.0,Female,HR,Data Analyst,63382.0,13,Master's,Noida
448,Vikash Kumar,54.0,Female,Sales,Data Analyst,74146.0,10,Bachelor's,Gurgaon
830,Ananya Sharma,35.0,Female,Finance,Operations Executive,88748.0,8,Master's,Hyderabad
651,Rahul Jain,35.0,Female,Sales,Software Developer,74781.0,13,Bachelor's,Mumbai
599,Vivaan Malhotra,30.0,Female,IT,HR Executive,32217.0,9,Diploma,Gurgaon
545,Priya Verma,22.0,Female,Marketing,HR Executive,106229,12,Master's,Hyderabad
785,Riya Mehta,37.0,Male,IT,Sales Executive,116915.0,8,Master's,Gurgaon
306,Vivaan Sharma,29.0,,Finance,Marketing Executive,99205.0,3,12th,Delhi
319,Vivaan Mehta,25.0,Female,HR,Data Analyst,26807.0,9,12th,Bengaluru
761,Aditya Jain,48.0,Female,Operations,Operations Executive,51444.0,6,Diploma,Mumbai
495,Meera Malhotra,26.0,Female,Operations,Operations Executive,97036.0,11,Diploma,Mumbai
266,Aditya Verma,45.0,Female,HR,Marketing Executive,36232.0,8,Master's,Bengaluru
111,Rahul Verma,43.0,Male,Marketing,Software Developer,53705.0,1,Diploma,Chandigarh
694,Ananya Patel,29.0,Female,HR,Operations Executive,117161.0,0,Bachelor's,Bengaluru
945,Rahul Yadav,41.0,Female,Operations,Operations Executive,107689.0,5,Diploma,Chandigarh
528,Riya Singh,48.0,Male,Marketing,Operations Executive,106962.0,9,Diploma,Bengaluru
257,Riya Jain,27.0,Male,HR,HR Executive,93732.0,8,Diploma,Mumbai
261,Aditya Singh,34.0,Female,hr,Data Analyst,115739.0,1,Master's,Pune
635,Sneha Mehta,46.0,Female,Operations,Sales Executive,106948.0,13,Master's,Jaipur
824,Vikash Kumar,43.0,Female,IT,HR Executive,83762.0,15,Diploma,Chandigarh
430,Isha Gupta,28.0,Female,Operations,Accountant,84048.0,15,Bachelor's,Hyderabad
631,Aarav Gupta,24.0,Male,HR,Accountant,36866.0,4,12th,Hyderabad
381,Sneha Gupta,31.0,Female,Operations,Accountant,33600.0,0,Master's,Noida
434,Vikash Yadav,34.0,,Marketing,Marketing Executive,51330.0,4,Master's,Hyderabad
735,Aarav Verma,37.0,Male,Finance,Marketing Executive,30672.0,3,Master's,Kolkata
138,Priya Malhotra,42.0,Female,Finance,Marketing Executive,45631.0,2,Bachelor's,Jaipur
358,Priya Gupta,30.0,Male,HR,Software Developer,68406.0,2,Diploma,Chandigarh
529,Arjun Patel,33.0,Male,HR,Software Developer,33973.0,14,Diploma,Kolkata
222,Pooja Jain,40.0,Male,Finance,Software Developer,99443.0,15,Master's,Hyderabad
757,Aditya Singh,36.0,Female,Marketing,Data Analyst,109945.0,3,Diploma,Jaipur
597,Simran Patel,55.0,Female,HR,HR Executive,25753.0,14,12th,Chandigarh
560,Simran Verma,41.0,Male,Sales,Operations Executive,88246.0,9,Bachelor's,Kolkata
364,Karan Kumar,48.0,Male,IT,Software Developer,45591.0,13,Diploma,Mumbai
526,Amit Sharma,40.0,Female,Finance,Accountant,26197.0,11,Master's,Bengaluru
209,Arjun Mehta,40.0,Male, marketing ,Software Developer,87245.0,9,Bachelor's,Kolkata
412,Amit Patel,25.0,Male,Finance,Marketing Executive,119838.0,9,Diploma,Chandigarh
335,Rahul Kumar,25.0,Male,Sales,Marketing Executive,102580.0,9,Diploma,Pune
211,Pooja Yadav,36.0,Male,HR,Data Analyst,29138.0,13,Master's,Bengaluru
351,Vikash Gupta,30.0,Male,Sales,Accountant,98807.0,15,Bachelor's,Gurgaon
79,Aditya Malhotra,51.0,Male,Sales,Sales Executive,39953.0,1,Master's,Jaipur
30,Simran Malhotra,23.0,Male,Sales,Marketing Executive,106183.0,10,Diploma,Noida
281,Isha Jain,27.0,Male,Marketing,Marketing Executive,58913.0,7,12th,Pune
586,Riya Patel,33.0,Male,HR,Sales Executive,51812.0,10,12th,Noida
753,Meera Malhotra,52.0,Female,Operations,Accountant,39336.0,15,12th,Hyderabad
781,Aditya Verma,33.0,Female,Finance,Accountant,107352.0,5,Master's,Hyderabad
290,Vikash Malhotra,50.0,Male,Operations,Marketing Executive,105918.0,2,Master's,Pune
166,Amit Patel,,Male,Sales,Data Analyst,83893.0,11,Bachelor's,Bengaluru
606,Meera Kumar,47.0,Male,Finance,Software Developer,79269.0,0,Master's,Mumbai
875,Aarav Verma,43.0,Female,Sales,HR Executive,74332.0,14,Diploma,Noida
721,Vikash Malhotra,45.0,Female,IT,Operations Executive,62940.0,9,12th,Hyderabad
66,Amit Verma,45.0,Male,IT,Accountant,76990.0,9,Bachelor's,Kolkata
142,Rahul Singh,24.0,Male,Finance,HR Executive,26007.0,9,Diploma,Gurgaon
276,Karan Malhotra,38.0,Female,finance,Accountant,76502.0,5,Bachelor's,Chandigarh
836,Neha Patel,47.0,Male,Sales,Sales Executive,54908.0,11,Bachelor's,Chandigarh
656,Vivaan Malhotra,33.0,Male,Marketing,Data Analyst,29461.0,6,Bachelor's,Gurgaon
466,Vikash Gupta,44.0,Male,Marketing,Marketing Executive,76445.0,14,Bachelor's,Bengaluru
671,Rahul Sharma,22.0,Male,HR,Marketing Executive,86763.0,5,Bachelor's,Mumbai
320,Vikash Verma,46.0,Male,Finance,Data Analyst,35803.0,6,Master's,Hyderabad
399,Raj Kumar,41.0,Male,IT,Sales Executive,108165.0,5,Master's,Chandigarh
307,Neha Kumar,28.0,Female,Sales,Data Analyst,45707.0,4,Diploma,Jaipur
308,Ananya Gupta,38.0,Female,,Data Analyst,37234.0,1,12th,Mumbai
829,Neha Verma,32.0,Male,IT,Software Developer,90991.0,7,Bachelor's,Hyderabad
334,Pooja Verma,35.0,Female,Operations,Software Developer,93125.0,3,Master's,Bengaluru
50,Karan Gupta,36.0,Female,HR,Operations Executive,113184.0,0,Bachelor's,Noida
826,Rohan Malhotra,45.0,Female,Sales,Operations Executive,79638.0,6,Diploma,Gurgaon
3,Rohan Mehta,49.0,Female,IT,Operations Executive,102236.0,10,Diploma,Jaipur
549,Kavya Verma,35.0,Male, marketing ,HR Executive,104423.0,14,Bachelor's,Pune
353,Aarav Gupta,42.0,Male,Finance,Data Analyst,118970.0,4,Bachelor's,Hyderabad
913,Arjun Verma,26.0,Male,Finance,HR Executive,63603.0,2,Diploma,Delhi
952,Aditya Gupta,24.0,Male,HR,HR Executive,108147.0,6,Master's,Hyderabad
347,Isha Yadav,51.0,Female,Finance,Accountant,96371.0,12,Diploma,Jaipur
760,Isha Yadav,27.0,Male,Finance,Sales Executive,115552.0,5,Diploma,Pune
825,Priya Malhotra,35.0,Male,Marketing,Marketing Executive,91536.0,14,Master's,Mumbai
582,Karan Verma,40.0,Female,HR,Operations Executive,83065.0,4,Master's,Delhi
34,Arjun Verma,40.0,Male,HR,Software Developer,111951.0,4,Diploma,Mumbai
32,Karan Jain,50.0,Male,IT,Accountant,106416.0,8,Master's,Pune
232,Vikash Sharma,47.0,Male,Marketing,Sales Executive,84873.0,12,Diploma,Delhi
755,Rahul Yadav,41.0,Male,Marketing,Data Analyst,33050.0,11,Bachelor's,Pune
193,Vikash Verma,31.0,F,Finance,Accountant,67291.0,8,Master's,Hyderabad
515,Aditya Mehta,41.0,Female,Operations,Sales Executive,113236.0,9,12th,Jaipur
4,Arjun Yadav,34.0,Male,IT,Sales Executive,69118.0,11,Diploma,Delhi
205,Meera Singh,39.0,Female,Marketing,Sales Executive,34637.0,3,Master's,Gurgaon
540,Arjun Gupta,43.0,Male,Operations,Accountant,109485.0,15,Master's,Pune
663,Aarav Jain,38.0,Female,Sales,Accountant,44871.0,15,12th,Bengaluru
989,Ananya Mehta,46.0,Female,Operations,Sales Executive,69225.0,12,Bachelor's,Hyderabad
110,Vivaan Malhotra,46.0,Male,Marketing,Operations Executive,60976.0,15,Diploma,Noida
603,Riya Singh,24.0,Male,Sales,Marketing Executive,39326.0,13,Diploma,Mumbai
78,Pooja Yadav,27.0,Female,Sales,Sales Executive,26607.0,5,Bachelor's,Mumbai
85,Simran Singh,25.0,Male,Finance,Accountant,32816.0,14,Bachelor's,Chandigarh
527,Sneha Mehta,48.0,Male,HR,Marketing Executive,76740.0,7,Diploma,Gurgaon
83,Amit Singh,47.0,Female,Finance,Data Analyst,84048.0,9,12th,Gurgaon
255,Meera Jain,51.0,Female,,Data Analyst,111413.0,13,Bachelor's,Delhi
765,Pooja Singh,54.0,Female,HR,Marketing Executive,49450.0,13,Bachelor's,Hyderabad
429,Karan Yadav,28.0,Male,Sales,Operations Executive,76497.0,3,12th,Delhi
916,Amit Kumar,21.0,Male,Sales,HR Executive,86866.0,15,Master's,Hyderabad
524,Ananya Mehta,55.0,Male,Sales,Software Developer,54770.0,8,Master's,Mumbai
468,Kavya Yadav,32.0,Male,Operations,Marketing Executive,99233.0,1,Master's,Chandigarh
645,Riya Sharma,31.0,Male,sales,Software Developer,100085.0,9,12th,Gurgaon
6,Amit Verma,23.0,Male,Finance,Data Analyst,111673.0,12,Diploma,Chandigarh
406,Aarav Sharma,24.0,Male,Operations,Operations Executive,111765.0,3,12th,Chandigarh
469,Vivaan Kumar,35.0,Female,Finance,HR Executive,33239.0,11,12th,Chandigarh
98,Meera Mehta,55.0,Female,Finance,Accountant,88483.0,14,Diploma,Noida
927,Sneha Malhotra,33.0,Male,,Data Analyst,25975.0,7,Diploma,Kolkata
360,Rohan Mehta,24.0,Female,Operations,Sales Executive,75585.0,15,12th,Pune
877,Ananya Sharma,40.0,Male,HR,Sales Executive,119084.0,8,12th,Kolkata
267,Aditya Sharma,30.0,Female,Finance,Data Analyst,76068.0,9,12th,Pune
423,Aditya Patel,26.0,Female,Marketing,Sales Executive,85174.0,14,Diploma,Gurgaon
463,Vikash Patel,51.0,Female,Finance,Operations Executive,85666.0,3,Master's,Kolkata
696,Sneha Yadav,42.0,Female,IT,Data Analyst,32184.0,14,Bachelor's,Pune
974,Rahul Sharma,27.0,Female,Operations,Sales Executive,25404.0,3,Diploma,Noida
494,Sneha Mehta,26.0,Female,Finance,Marketing Executive,61167.0,6,Bachelor's,Gurgaon
119,Ananya Kumar,27.0,Female,Finance,Data Analyst,89139.0,14,12th,Noida
972,Priya Malhotra,54.0,Female,Sales,Operations Executive,59843.0,13,Diploma,Pune
251,Amit Patel,33.0,Male,Sales,Accountant,68236.0,10,Diploma,Chandigarh
343,Rohan Malhotra,42.0,Male,Sales,Data Analyst,41059.0,13,12th,Chandigarh
10,Rahul Kumar,46.0,Female,HR,Software Developer,109259.0,8,12th,Kolkata
197,Vivaan Gupta,46.0,Female,IT,Marketing Executive,63985.0,14,12th,Chandigarh
742,Neha Singh,40.0,Female,HR,Accountant,115052.0,13,Master's,Gurgaon
82,Rohan Jain,37.0,Male,HR,HR Executive,111563.0,2,Master's,Delhi
949,Vivaan Jain,49.0,Male,Finance,Software Developer,68082.0,13,Diploma,Delhi
480,Isha Jain,45.0,Male,IT,HR Executive,42329.0,13,Master's,Kolkata
626,Arjun Yadav,29.0,Male,Sales,Operations Executive,91577.0,2,Diploma,Hyderabad
240,Amit Malhotra,34.0,Male,Marketing,Software Developer,32398.0,10,Diploma,Noida
293,Pooja Malhotra,39.0,Male,Finance,Operations Executive,43388.0,1,Diploma,Delhi
212,Vivaan Gupta,,Female,Operations,Marketing Executive,78788.0,6,Diploma,Chandigarh
901,Meera Kumar,37.0,Male,Finance,Operations Executive,119219.0,5,Master's,Delhi
362,Arjun Verma,23.0,Male,Finance,Software Developer,63654.0,10,Master's,Bengaluru
533,Sneha Verma,26.0,Male,Finance,Operations Executive,44148.0,15,Master's,Noida
228,Kavya Gupta,44.0,Male,HR,HR Executive,105560.0,14,Diploma,Bengaluru
865,Vivaan Yadav,36.0,Female,IT,Software Developer,89615.0,14,12th,Gurgaon
363,Riya Patel,31.0,Male,Finance,Accountant,34830.0,0,12th,Jaipur
853,Vikash Kumar,30.0,Female,IT,Software Developer,102283.0,5,12th,Delhi
955,Neha Jain,46.0,Male,Sales,Sales Executive,74508.0,13,Master's,Chandigarh
965,Karan Mehta,26.0,Female,HR,Software Developer,39322.0,9,Bachelor's,Jaipur
366,Riya Patel,44.0,Female,IT,Software Developer,25500.0,6,Bachelor's,Delhi
771,Aditya Mehta,40.0,Female,Finance,Marketing Executive,33333.0,4,Master's,Gurgaon
860,Vivaan Patel,49.0,Female,Sales,Accountant,36094.0,0,Diploma,Bengaluru
372,Pooja Gupta,53.0,Male,IT,Operations Executive,99870.0,5,Master's,Noida
8,Meera Kumar,50.0,Female,Operations,Marketing Executive,74735.0,10,Bachelor's,Noida
156,Riya Gupta,27.0,Female,Finance,Software Developer,98133.0,10,Bachelor's,Kolkata
546,Priya Mehta,52.0,Male,Marketing,Software Developer,97281.0,10,Bachelor's,Gurgaon
808,Neha Verma,48.0,Male,Sales,Marketing Executive,73265.0,1,Diploma,Chandigarh
486,Neha Malhotra,41.0,Female,IT,HR Executive,78588.0,8,Diploma,Hyderabad
585,Neha Sharma,29.0,Male,HR,Data Analyst,46467.0,8,12th,Noida
